,Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AIV,AAPL,AMAT,ADM
21,2002-12-01,62.001904761904775,20.086666666666673,57.35565217391304,16.827619047619045,2.031428571428571,18.657619047619047,13.025714285714288,7.277619047619049,23.784285714285716,3.0147619047619054,10.037619047619048,34.601428571428556,29.846666666666664,17.587619047619054,43.48904761904761,1.7776190476190474,5.435238095238093,14.703809523809525,41.71476190476189,3.825714285714285,59.938095238095244,314.61857142857144,18.877619047619046,7.799047619047619,38.13380952380953,198.729,196.6,9.379047619047617,21.832380952380948,41.254285714285714,43.31454545454545,27.140952380952378,32.13285714285714,1627.095238095238,8.098571428571429,22.119999999999994,63.79809523809524,14.22904761904762,5.583333333333332,49.51333333333334,20.310952380952386,24.329523809523806,50.01105263157895,72.13285714285716,87.16333333333334,27.28619047619048,37.01190476190476,1.05,14.214285714285712,12.60142857142857
22,2003-01-01,63.24476190476191,19.39333333333333,64.97736842105265,17.62952380952381,0.5252380952380952,20.92173913043478,13.495714285714286,6.392857142857142,25.106956521739136,3.5590476190476186,10.777619047619051,34.330952380952375,31.71333333333333,18.249047619047627,42.355714285714285,1.6133333333333328,5.522380952380952,14.090476190476188,41.23238095238095,3.432380952380953,61.14818181818183,289.38476190476194,23.222857142857148,8.455238095238094,36.73095238095237,220.4859090909092,201.56599999999997,17.58571428571429,21.508571428571432,41.20666666666667,43.4795,26.929523809523808,36.452380952380956,1612.36,8.027000000000001,21.25478260869565,58.710434782608694,13.982857142857144,5.63047619047619,50.92761904761905,20.883809523809525,23.057142857142857,51.92380952380953,73.17142857142858,82.83347826086955,28.443809523809534,37.417619047619056,1.0333333333333334,14.15904761904762,12.451904761904762
23,2003-02-01,62.22210526315789,17.97421052631579,67.32090909090908,19.384090909090904,0.4547368421052632,22.668421052631572,13.67578947368421,5.197368421052632,26.594736842105263,3.1784210526315784,10.472105263157896,29.577894736842108,31.110526315789475,13.185263157894735,39.79526315789472,1.3826315789473689,4.614736842105263,12.524736842105265,40.82421052631579,2.8447368421052635,65.27800000000002,276.06727272727267,24.523809523809533,7.924736842105262,32.18,243.06047619047612,188.35652173913047,37.84894736842105,21.473157894736843,39.072631578947366,43.22181818181818,21.291052631578946,33.62052631578948,1545.247619047619,7.254285714285714,21.51666666666667,60.573684210526324,13.93315789473684,4.898947368421052,52.99421052631578,19.88210526315789,22.345263157894742,52.84380952380951,72.8404347826087,90.31684210526316,30.15157894736843,36.06263157894737,1.046842105263158,12.32263157894737,11.55315789473684
24,2003-03-01,63.75333333333333,18.38095238095238,63.91499999999999,20.434285714285718,0.4623809523809525,24.13636363636364,14.876190476190475,6.04,26.62863636363636,3.3361904761904757,11.367619047619048,27.553809523809523,31.80095238095239,13.644285714285715,40.23285714285715,1.4128571428571428,4.4004761904761915,11.84904761904762,41.87809523809523,2.9323809523809525,65.91772727272726,307.2120000000001,27.14999999999999,7.845238095238094,32.40666666666666,236.98500000000004,198.333,34.96476190476191,25.115714285714283,39.153809523809535,39.956842105263156,22.26190476190476,34.16238095238095,1459.042105263158,4.391052631578948,21.002499999999994,64.38869565217392,12.915238095238092,4.866190476190477,56.90666666666667,20.30619047619048,22.392857142857146,51.62761904761906,68.38473684210528,95.58363636363636,30.782857142857143,36.26857142857143,1.043809523809524,12.841428571428569,10.902380952380954
25,2003-04-01,65.17476190476192,19.899047619047614,58.928947368421056,22.566666666666666,0.4552380952380953,25.3065,16.832857142857144,7.475238095238094,27.4145,4.743333333333332,12.160476190476189,30.290476190476195,33.45523809523809,14.834761904761903,42.19571428571429,1.7561904761904763,4.152857142857142,12.49666666666667,42.59904761904762,3.3233333333333337,60.05473684210526,310.75636363636363,28.04190476190476,8.438095238095237,36.33333333333333,245.53499999999997,220.04818181818183,30.867619047619048,26.24761904761905,40.14952380952382,38.7205,24.510476190476194,36.09761904761904,1474.38,5.892,20.637727272727272,58.21142857142856,13.279523809523807,5.2771428571428585,60.210476190476186,21.15142857142857,22.717142857142854,54.26619047619048,73.38136363636362,93.6925,30.040476190476195,37.46238095238096,0.9890476190476188,14.074285714285715,11.325714285714286
26,2003-05-01,62.133809523809525,21.326190476190483,58.50954545454545,22.68913043478261,0.5185714285714286,24.93736842105262,17.924761904761905,7.334285714285714,26.94315789473684,6.983333333333335,13.595714285714287,32.41142857142857,32.68285714285714,16.442380952380947,43.030476190476186,3.4052380952380954,4.70952380952381,13.129047619047618,43.71,3.4085714285714284,59.096,296.03526315789475,28.11761904761905,9.274285714285718,36.315714285714286,233.84315789473683,242.57142857142856,35.255714285714284,32.17666666666666,42.899047619047614,41.88318181818182,26.567619047619036,39.89809523809525,1431.4272727272726,4.763181818181818,21.117619047619048,56.533,14.850952380952384,5.546666666666668,62.009047619047614,22.92571428571428,23.581904761904763,52.97590909090909,77.057,98.32157894736844,30.628571428571423,36.15095238095239,1.2690476190476192,14.745238095238092,11.466190476190475
27,2003-06-01,64.2357142857143,22.519047619047623,62.13761904761907,24.504210526315788,0.7976190476190477,23.79521739130435,16.81904761904762,6.664761904761906,26.59608695652174,7.428571428571429,15.297142857142855,40.97428571428571,31.49142857142857,19.155238095238094,42.53523809523811,4.769047619047619,5.0790476190476195,13.818571428571428,44.461904761904755,4.346666666666667,63.86954545454545,281.18299999999994,27.93826086956522,9.962380952380949,36.13380952380953,226.68227272727276,236.512,43.593809523809526,35.25666666666667,44.915238095238095,38.88333333333333,30.0004761904762,43.04238095238095,1368.3,4.214090909090909,22.340454545454545,52.405238095238076,16.893333333333334,5.606666666666667,64.89761904761905,23.52809523809524,23.007142857142853,50.86952380952379,83.59473684210526,98.16727272727272,32.68761904761906,35.308095238095234,1.2985714285714285,15.839523809523811,12.668095238095233
28,2003-07-01,66.59863636363636,21.052727272727264,65.49549999999999,25.47227272727273,0.879090909090909,24.819523809523808,16.828181818181818,7.130000000000001,27.959523809523805,6.852727272727273,15.914545454545454,43.51409090909091,31.631363636363634,21.388181818181817,43.58090909090909,5.073636363636362,5.7340909090909085,14.07681818181818,45.655,4.458181818181818,64.53142857142858,282.42272727272734,28.265263157894736,9.966818181818182,38.16454545454546,236.485,245.0455,42.11590909090909,38.83681818181818,42.96954545454546,32.52904761904761,28.09818181818181,44.275,1319.76,3.5165,23.019523809523808,52.84349999999999,17.075454545454548,5.833181818181819,69.32590909090911,26.606818181818177,21.917272727272724,49.82952380952379,88.6004347826087,97.61095238095238,31.678181818181823,36.42272727272727,1.4468181818181818,18.21727272727273,12.840454545454545
29,2003-08-01,71.10047619047619,19.677142857142858,68.095,24.5395,0.8371428571428572,24.3555,17.63809523809524,8.619047619047619,28.081999999999997,6.223809523809526,14.114285714285714,43.80809523809525,32.02428571428572,22.60619047619048,46.521428571428565,3.934761904761905,6.217619047619048,13.676190476190481,46.05666666666666,3.453333333333333,66.75190476190477,230.44,28.52863636363636,10.30952380952381,36.25952380952381,236.74227272727276,233.3742105263158,40.114761904761906,42.19190476190477,42.2042857142857,30.1490909090909,28.027142857142852,44.70904761904761,1224.3727272727276,2.5027272727272725,23.687142857142852,50.82250000000001,15.007142857142858,6.0580952380952375,67.41285714285715,26.518095238095242,21.456190476190482,46.24391304347826,91.59142857142857,100.33650000000002,32.820952380952384,38.149523809523814,1.4728571428571426,19.822857142857146,13.377619047619051
30,2003-09-01,70.08666666666666,21.398095238095237,69.52136363636363,22.962631578947374,0.8923809523809523,25.267142857142865,19.846666666666668,11.855238095238096,29.300000000000004,7.222857142857142,14.769523809523806,44.551428571428566,31.423809523809524,24.38666666666667,47.310952380952386,4.7542857142857144,7.1638095238095225,14.122380952380956,47.51285714285714,3.98,67.93545454545455,223.08857142857136,27.844499999999996,10.994285714285716,36.70190476190477,257.76809523809516,226.22909090909093,42.65714285714286,47.43714285714286,42.71380952380953,33.888000000000005,29.3,45.64666666666666,1281.9909090909093,1.9395454545454545,24.415714285714287,51.24545454545455,14.01904761904762,6.334761904761906,67.52809523809522,27.064761904761895,21.473809523809525,51.01052631578947,87.94049999999996,102.20954545454546,33.892857142857146,38.67333333333333,1.581904761904762,20.39095238095239,13.200476190476193
31,2003-10-01,74.72869565217391,21.10826086956522,67.1257142857143,23.56695652173913,0.9439130434782608,23.232857142857146,21.16086956521739,13.539565217391305,25.889523809523805,8.048695652173915,15.459130434782608,45.8786956521739,34.82434782608696,23.60826086956521,46.72826086956522,5.63304347826087,7.456086956521737,13.873478260869565,50.47782608695652,4.750869565217392,70.835,237.8204545454546,29.93684210526316,11.556086956521735,39.03347826086957,266.5061904761905,236.0130000000001,45.3108695652174,56.06217391304348,43.96304347826087,35.54391304347826,29.40130434782609,47.33434782608696,1160.75,2.0815,25.12954545454545,48.571904761904754,14.205217391304348,6.812608695652174,63.717826086956514,28.41217391304348,21.098695652173923,56.13590909090909,89.02904761904762,101.2468181818182,35.228260869565226,41.1704347826087,1.6430434782608692,20.965217391304343,13.60217391304348
32,2003-11-01,78.6384210526316,21.61368421052632,58.42333333333334,24.817142857142855,1.0810526315789473,21.91181818181818,21.087894736842106,17.23157894736842,23.77227272727273,8.708947368421054,14.984736842105262,45.7,35.682631578947365,26.823157894736834,45.923157894736846,11.07684210526316,6.97157894736842,13.676842105263159,55.25736842105264,4.477894736842106,71.71173913043478,244.393,31.44695652173913,12.126315789473686,40.333684210526314,255.17000000000004,236.26863636363643,49.53052631578948,52.725263157894744,43.98894736842105,36.45619047619048,27.434736842105266,45.72473684210527,1205.295652173913,1.0126086956521738,25.635999999999992,45.094761904761896,15.616842105263155,6.975263157894738,59.71473684210528,30.11947368421053,22.045263157894734,53.93799999999999,88.36904761904762,98.48285714285713,35.304736842105264,35.18052631578948,1.5431578947368425,24.212631578947374,14.28684210526316
33,2003-12-01,82.78545454545456,22.96909090909091,54.590454545454534,23.819500000000005,1.1677272727272727,22.524285714285718,19.86545454545455,15.322272727272725,24.02380952380952,8.594090909090907,16.270454545454548,45.17818181818182,35.49818181818182,27.79227272727273,51.39272727272728,11.414545454545454,6.720454545454545,14.764090909090907,57.31318181818183,4.4409090909090905,68.62619047619049,248.63956521739132,34.56428571428571,12.306363636363635,41.69181818181819,270.4826315789473,257.2528571428572,53.23500000000001,51.29181818181818,45.05909090909091,39.04380952380952,29.034090909090907,46.46863636363637,1300.67,2.2665,26.94894736842105,40.29954545454545,15.84681818181818,7.06318181818182,60.18045454545452,31.19454545454545,24.504090909090905,56.813684210526326,81.10454545454544,90.47857142857143,39.070454545454545,34.445,1.4772727272727273,22.352727272727265,14.917272727272728
34,2004-01-01,82.51449999999998,22.241999999999997,61.3375,26.088095238095242,1.295,25.40333333333334,19.0255,15.582999999999998,24.299047619047624,10.1185,17.216500000000003,51.977,35.86400000000001,33.132000000000005,52.089,13.334499999999995,7.0405,15.149,58.59100000000001,4.5920000000000005,66.6542857142857,239.65666666666667,35.7655,12.6365,44.37600000000001,318.0130434782609,265.9733333333333,54.12949999999999,53.946999999999996,46.467,43.77666666666668,31.456,49.35900000000001,1199.2952380952381,3.617619047619048,27.55869565217391,43.38952380952381,13.883,7.417499999999999,63.4705,32.81499999999999,25.665,59.18090909090908,85.33190476190475,91.65227272727272,41.264,34.2075,1.628,23.3105,15.44
35,2004-02-01,79.54368421052631,21.973157894736843,57.20363636363638,25.892857142857146,1.4094736842105262,28.690476190476193,19.061052631578946,14.810000000000002,27.575714285714284,9.210000000000004,18.91578947368421,56.4763157894737,40.238421052631594,35.81947368421053,49.75894736842106,14.716315789473686,6.67157894736842,14.254210526315786,62.09000000000001,5.413157894736843,66.85238095238097,229.19619047619045,39.86142857142856,12.954210526315787,46.13210526315789,338.5204761904762,254.66,55.4978947368421,45.21736842105264,46.64473684210525,47.82285714285715,33.513157894736835,53.12578947368421,1194.8761904761905,4.5,28.534,42.02571428571429,14.11684210526316,7.39,64.51000000000002,32.077368421052626,25.40263157894737,63.32285714285714,81.09190476190476,94.1225,39.10947368421053,33.57894736842106,1.628421052631579,21.78315789473684,16.99684210526316
36,2004-03-01,78.85434782608695,20.71391304347826,56.37473684210527,25.11863636363637,1.8860869565217395,30.740454545454543,18.696521739130443,15.148695652173915,28.08272727272727,8.458695652173912,21.210869565217394,55.75608695652174,40.04695652173914,31.67695652173913,48.57130434782608,14.581304347826087,6.045217391304346,14.253478260869565,61.56217391304348,5.827826086956521,65.12619047619049,197.6442857142857,39.277142857142856,12.960434782608695,44.68173913043479,348.04649999999987,269.9442105263158,55.50478260869565,42.35521739130434,46.69565217391306,,33.59956521739129,51.70130434782609,991.4736842105265,4.741578947368421,29.45523809523809,25.543913043478266,13.866956521739132,7.191304347826086,60.70434782608695,29.89000000000001,25.867391304347827,64.26050000000001,92.6704761904762,93.77181818181818,41.9395652173913,32.08565217391304,1.8717391304347828,21.123478260869557,16.771739130434785
37,2004-04-01,84.28666666666669,21.584285714285713,54.416000000000004,26.65571428571429,2.5285714285714285,28.119,20.957142857142845,16.34904761904762,28.745000000000005,8.277142857142858,22.418095238095237,52.78,41.67,30.208571428571414,51.72952380952381,13.962380952380949,6.283333333333332,14.731904761904762,58.48047619047619,5.9471428571428575,,194.63095238095238,37.09818181818182,12.830952380952382,46.56142857142858,306.21190476190486,317.3778260869565,55.578571428571436,46.532857142857154,44.22666666666667,,31.24666666666667,50.763809523809506,988.1142857142858,5.2957142857142845,29.114090909090915,17.932105263157894,14.01809523809524,7.972380952380951,58.73904761904763,31.902857142857147,26.892380952380947,66.84636363636363,112.4,87.04947368421051,43.27142857142857,28.94333333333333,1.9647619047619052,20.934761904761906,17.077619047619052
38,2004-05-01,84.16550000000002,20.5195,56.38590909090908,25.10142857142857,2.3840000000000003,27.144736842105264,21.991,14.6195,31.18684210526316,8.4705,19.962,47.441,40.5615,25.6395,49.0795,13.274,5.1435,14.1095,53.88199999999999,5.2440000000000015,,,39.854285714285716,12.245,44.308,252.149,337.84476190476187,51.0365,43.26349999999999,42.528,,30.178,49.287,1087.6380952380955,6.272857142857142,29.39350000000001,20.152727272727283,14.884000000000004,7.7905,56.06699999999999,32.1485,27.357,61.22909090909091,119.0785,92.734,40.8825,28.6945,1.9335,18.886000000000006,16.852
