caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
10/31/1955,-0.030468,-0.031000,-0.029509,-0.031032,-0.030456
11/30/1955,0.087825,0.075124,0.069658,0.060624,0.074870
12/30/1955,-0.000309,-0.001685,0.007020,0.004091,-0.000659
01/31/1956,-0.035057,-0.036279,-0.029282,-0.031120,-0.036500
02/29/1956,0.041397,0.034458,0.035648,0.029366,0.034687
03/29/1956,0.070328,0.069226,0.057738,0.054317,0.069255
04/30/1956,-0.000637,-0.001425,-0.006672,-0.008259,-0.002063
05/31/1956,-0.058414,-0.065976,-0.045339,-0.051490,-0.065730
06/29/1956,0.038910,0.037762,0.025100,0.022321,0.039159
07/31/1956,0.051427,0.050619,0.039614,0.037923,0.051522
08/31/1956,-0.032788,-0.039976,-0.031743,-0.037397,-0.038064
09/28/1956,-0.044022,-0.045127,-0.043159,-0.046117,-0.045464
10/31/1956,0.006619,0.005298,0.004706,0.002011,0.005072
11/30/1956,-0.001921,-0.011161,-0.002676,-0.009880,-0.010970
12/31/1956,0.036284,0.034442,0.026143,0.021893,0.035271
01/31/1957,-0.040238,-0.041569,-0.007459,-0.009516,-0.041783
02/28/1957,-0.024919,-0.032823,-0.027027,-0.033574,-0.032648
03/29/1957,0.023827,0.020752,0.021729,0.017485,0.019649
04/30/1957,0.046538,0.045215,0.028393,0.026411,0.036953
05/31/1957,0.038734,0.033208,0.023925,0.018511,0.036948
06/28/1957,-0.000705,-0.003632,-0.007865,-0.011632,-0.001265
07/31/1957,0.009747,0.008217,0.002362,0.000295,0.011400
08/30/1957,-0.048998,-0.054178,-0.051084,-0.056160,-0.056147
09/30/1957,-0.057879,-0.060609,-0.049284,-0.053811,-0.061920
10/31/1957,-0.038834,-0.040549,-0.055624,-0.058402,-0.032060
11/29/1957,0.023703,0.016483,0.023873,0.017426,0.016074
12/31/1957,-0.037422,-0.041021,-0.048022,-0.053394,-0.041467
01/31/1958,0.045518,0.044330,0.099789,0.097821,0.042761
02/28/1958,-0.014109,-0.020288,-0.011325,-0.016617,-0.020624
03/31/1958,0.033052,0.029736,0.039061,0.034599,0.030852
04/30/1958,0.033511,0.032038,0.033179,0.031104,0.031829
05/29/1958,0.021313,0.015503,0.034512,0.029863,0.014963
06/30/1958,0.027998,0.024897,0.026758,0.022805,0.026083
07/31/1958,0.043960,0.042418,0.056779,0.054981,0.043103
08/29/1958,0.017999,0.013270,0.028990,0.024851,0.011867
09/30/1958,0.050837,0.047954,0.053745,0.050038,0.048377
10/31/1958,0.027370,0.025878,0.028065,0.026130,0.025370
11/28/1958,0.028617,0.023385,0.039041,0.034636,0.022404
12/31/1958,0.054112,0.051432,0.039755,0.036005,0.052020
01/30/1959,0.006331,0.005395,0.033378,0.032038,0.003804
02/27/1959,0.006711,0.002210,0.024427,0.020708,-0.000180
03/31/1959,0.003352,0.000826,0.005580,0.002336,0.000541
04/30/1959,0.040054,0.039093,0.028593,0.027249,0.038781
05/29/1959,0.023631,0.019043,0.012160,0.008451,0.018927
06/30/1959,-0.000725,-0.003196,0.006939,0.003837,-0.003579
07/31/1959,0.034504,0.033514,0.028023,0.026727,0.034890
08/31/1959,-0.011076,-0.015179,-0.014613,-0.018194,-0.015039
09/30/1959,-0.043182,-0.045586,-0.040954,-0.044783,-0.045638
10/30/1959,0.012574,0.011436,0.013011,0.011226,0.011252
11/30/1959,0.018486,0.013114,0.015520,0.010947,0.013213
12/31/1959,0.029627,0.026911,0.017537,0.013658,0.027625
01/29/1960,-0.069933,-0.070835,-0.049087,-0.050336,-0.071464
02/29/1960,0.013922,0.009129,0.007490,0.003340,0.009171
03/31/1960,-0.012566,-0.015238,-0.025784,-0.029590,-0.013899
04/29/1960,-0.016113,-0.017097,-0.015902,-0.017289,-0.017528
05/31/1960,0.033513,0.028312,0.025842,0.020907,0.026853
06/30/1960,0.021802,0.019133,0.020119,0.016784,0.019524
07/29/1960,-0.022948,-0.023813,-0.018612,-0.019928,-0.024772
08/31/1960,0.031467,0.026197,0.034033,0.028714,0.026121
09/30/1960,-0.058713,-0.060920,-0.060560,-0.063383,-0.060393
10/31/1960,-0.001079,-0.002407,-0.011490,-0.013091,-0.002429
11/30/1960,0.046081,0.039977,0.047319,0.041373,0.040270
12/30/1960,0.048839,0.046597,0.039062,0.036143,0.046273
01/31/1961,0.064320,0.063181,0.078330,0.076854,0.063156
02/28/1961,0.032838,0.028612,0.056078,0.051918,0.026870
03/30/1961,0.029345,0.027051,0.035927,0.032843,0.025536
04/28/1961,0.004537,0.003843,0.000684,-0.000324,0.003843
