caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
05/10/1948,0.003389,0.003389,0.006698,0.006698,
05/11/1948,0.004946,0.003519,0.002654,0.002509,
05/12/1948,0.002101,0.000929,0.002923,0.001488,
05/13/1948,0.008127,0.008044,0.008841,0.008678,
05/14/1948,0.026053,0.026020,0.030668,0.030500,
05/15/1948,0.009430,0.009430,0.008064,0.008064,
05/17/1948,0.003195,0.003161,0.005174,0.004993,
05/18/1948,-0.013062,-0.013137,-0.014186,-0.014341,
05/19/1948,-0.001148,-0.001571,0.000884,0.000561,
05/20/1948,0.005470,0.005203,0.005361,0.004796,
05/21/1948,0.002656,0.002414,0.001495,0.001355,
05/22/1948,0.001898,0.001898,0.001851,0.001851,
05/24/1948,0.000756,0.000756,-0.001468,-0.001468,
05/25/1948,-0.001559,-0.001559,-0.007126,-0.007126,
05/26/1948,0.009801,0.009682,0.007722,0.007055,
05/27/1948,0.000260,-0.000636,-0.002611,-0.003469,
05/28/1948,0.000160,0.000110,0.000175,-0.000202,
06/01/1948,0.002808,0.002808,0.000757,0.000757,
06/02/1948,0.003162,0.001510,0.002385,0.001486,
06/03/1948,-0.002054,-0.002354,-0.005174,-0.005617,
06/04/1948,-0.008273,-0.008641,-0.008969,-0.009324,
06/07/1948,-0.003027,-0.003027,-0.003802,-0.003802,
06/08/1948,0.017525,0.017525,0.021431,0.021431,
06/09/1948,0.004346,0.004234,0.003598,0.003237,
06/10/1948,0.001251,0.001117,0.001343,0.001172,
06/11/1948,0.002538,0.002309,0.000249,0.000059,
06/14/1948,0.000927,0.000855,-0.002208,-0.002595,
06/15/1948,0.005169,0.005169,0.000085,0.000085,
06/16/1948,-0.002968,-0.003469,-0.002707,-0.002968,
06/17/1948,-0.000217,-0.000253,0.005104,0.004943,
06/18/1948,-0.001897,-0.001897,-0.002025,-0.002025,
06/21/1948,-0.010212,-0.010212,-0.014313,-0.014313,
06/22/1948,-0.000168,-0.000168,0.008603,0.008603,
06/23/1948,0.010138,0.009912,0.015788,0.015478,
06/24/1948,-0.002322,-0.002322,-0.000247,-0.000247,
06/25/1948,-0.003460,-0.003460,-0.002841,-0.002841,
06/28/1948,-0.013356,-0.013401,-0.014687,-0.015066,
06/29/1948,0.004922,0.004922,0.003940,0.003940,
06/30/1948,0.003263,0.003001,0.005095,0.004647,
07/01/1948,-0.002816,-0.002816,-0.003161,-0.003161,
07/02/1948,0.009212,0.009212,0.010689,0.010689,
07/06/1948,0.000446,0.000446,-0.000020,-0.000020,
07/07/1948,-0.003813,-0.003813,-0.002425,-0.002425,
07/08/1948,0.001839,0.001839,0.003427,0.003427,
07/09/1948,0.006223,0.006223,0.006152,0.006152,
07/12/1948,-0.001879,-0.001879,0.000687,0.000687,
07/13/1948,-0.005816,-0.005877,-0.005382,-0.005725,
07/14/1948,0.001070,0.001070,0.001038,0.001038,
07/15/1948,-0.019359,-0.019359,-0.020144,-0.020144,
07/16/1948,-0.013509,-0.013713,-0.013072,-0.013520,
07/19/1948,-0.033691,-0.033691,-0.030805,-0.030805,
07/20/1948,0.015660,0.015579,0.014774,0.014672,
07/21/1948,0.007898,0.007898,0.004037,0.004037,
07/22/1948,0.008413,0.008122,0.006971,0.006697,
07/23/1948,0.003550,0.003550,0.003588,0.003588,
07/26/1948,-0.010130,-0.010130,-0.009262,-0.009262,
07/27/1948,0.011416,0.011416,0.009669,0.009669,
07/28/1948,-0.006803,-0.006956,-0.005300,-0.005450,
07/29/1948,-0.008107,-0.008193,-0.007726,-0.007937,
07/30/1948,-0.012171,-0.012171,-0.011775,-0.011775,
08/02/1948,-0.000175,-0.000175,-0.004236,-0.004236,
08/03/1948,0.003522,0.003522,0.005421,0.005421,
08/04/1948,0.016068,0.015456,0.014551,0.014119,
08/05/1948,-0.003725,-0.003953,-0.004208,-0.004391,
08/06/1948,0.002794,0.002166,0.002187,0.001858,
08/09/1948,-0.010660,-0.010660,-0.012464,-0.012464,
08/10/1948,-0.011573,-0.013461,-0.009701,-0.009874,
08/11/1948,-0.003699,-0.004567,-0.005657,-0.006345,
08/12/1948,0.003540,0.002844,0.003526,0.002514,
08/13/1948,-0.001622,-0.001622,-0.001528,-0.001528,
08/16/1948,0.003544,0.003417,0.002370,0.001864,
08/17/1948,0.011754,0.011754,0.013396,0.013396,
08/18/1948,-0.000516,-0.000657,-0.000916,-0.001237,
08/19/1948,0.003691,0.003098,0.002658,0.001935,
08/20/1948,0.011001,0.011001,0.011604,0.011604,
08/23/1948,-0.012687,-0.012687,-0.011749,-0.011749,
08/24/1948,0.005902,0.005902,0.007094,0.007094,
08/25/1948,-0.002123,-0.002146,-0.001633,-0.001867,
08/26/1948,0.003544,0.003300,0.004041,0.003707,
08/27/1948,0.005134,0.005039,0.007092,0.006976,
08/30/1948,-0.007078,-0.008312,-0.005470,-0.006740,
08/31/1948,-0.000659,-0.000659,0.002601,0.002601,
09/01/1948,0.014087,0.012615,0.014039,0.013123,
09/02/1948,0.005833,0.005324,0.006381,0.006008,
09/03/1948,0.001108,0.000857,-0.001716,-0.001926,
09/07/1948,0.005083,0.005083,0.005858,0.005858,
09/08/1948,-0.017442,-0.017801,-0.018604,-0.019227,
09/09/1948,-0.016385,-0.016385,-0.016446,-0.016446,
09/10/1948,0.001368,0.001368,-0.000795,-0.000795,
09/13/1948,-0.008648,-0.008996,-0.008992,-0.009378,
09/14/1948,0.008570,0.008545,0.010335,0.010177,
09/15/1948,-0.001123,-0.001266,-0.001951,-0.002143,
09/16/1948,0.000517,0.000517,0.002950,0.002950,
09/17/1948,-0.004993,-0.005098,-0.006507,-0.006923,
09/20/1948,-0.018984,-0.018984,-0.021173,-0.021173,
09/21/1948,0.007318,0.007318,0.005973,0.005973,
09/22/1948,0.003709,0.003076,0.006954,0.006815,
09/23/1948,-0.002537,-0.002537,-0.004475,-0.004475,
09/24/1948,0.002552,0.002552,0.001518,0.001518,
09/27/1948,-0.026042,-0.026042,-0.028833,-0.028833,
09/28/1948,0.011533,0.011328,0.011591,0.011032,
09/29/1948,0.012415,0.012304,0.010708,0.010373,
09/30/1948,-0.004263,-0.004263,-0.003589,-0.003589,
10/01/1948,0.012604,0.012389,0.009762,0.009337,
10/02/1948,0.005329,0.005329,0.006339,0.006339,
10/04/1948,0.005839,0.005839,0.005505,0.005505,
10/05/1948,-0.002237,-0.002237,-0.004880,-0.004880,
10/06/1948,0.002006,0.001499,0.002813,0.002371,
10/07/1948,0.005713,0.005713,0.005870,0.005870,
10/08/1948,-0.002337,-0.002337,-0.004273,-0.004273,
10/09/1948,0.000175,0.000175,-0.000117,-0.000117,
10/11/1948,-0.000299,-0.000329,-0.001243,-0.001464,
10/13/1948,0.012026,0.011992,0.012498,0.012363,
10/14/1948,0.002991,0.002991,0.001268,0.001268,
10/15/1948,-0.001636,-0.001636,-0.001063,-0.001063,
10/16/1948,0.001474,0.001474,0.000943,0.000943,
10/18/1948,0.003307,0.003176,0.003739,0.003407,
10/19/1948,0.005727,0.005649,0.006562,0.006459,
10/20/1948,0.005282,0.004106,0.006718,0.006582,
10/21/1948,0.001050,0.000764,0.002462,0.002182,
10/22/1948,0.015612,0.015612,0.014010,0.014010,
10/23/1948,0.003348,0.003348,0.004080,0.004080,
10/25/1948,-0.005383,-0.005383,-0.008074,-0.008074,
10/26/1948,0.000839,0.000839,0.001598,0.001598,
10/27/1948,-0.000916,-0.001266,-0.001817,-0.002148,
10/28/1948,-0.007088,-0.007173,-0.007857,-0.008076,
10/29/1948,0.002539,0.002539,0.001980,0.001980,
10/30/1948,0.002219,0.002219,0.002099,0.002099,
11/01/1948,0.009483,0.009483,0.011149,0.011149,
11/03/1948,-0.045923,-0.046508,-0.053503,-0.053928,
11/04/1948,0.013599,0.013368,0.014008,0.013826,
11/05/1948,-0.044358,-0.044358,-0.045811,-0.045811,
11/06/1948,0.005377,0.005377,0.006608,0.006608,
